As introduced,Errata,act_no,assent_date,bill_category,bill_status,bill_type,billno,date_of_introduction,gazette_notification,gazette_notification_link,house_of_introduction,member,ministry,passed_in_LS,passed_in_LS_link,passed_in_RS,referred_to_committee_date,report_presented_date,report_presented_link,synopsis,title,year
,,,Negatived,Ordinary Bill,Negatived,Private Member,IV,28/04/00,,,Rajya Sabha,Kartar Singh Shri,HEALTH AND FAMILY WELFARE,,, ,,,,,"The Prihibtion of smoking Bill, 1999.",2000
,,,Negatived,Ordinary Bill,Negatived,Private Member,VII,07/12/91,,,Rajya Sabha,Nagen Saikia Dr.,HOME AFFAIRS,,, ,,,,,"The Illegal Migrant (Determination by Tribunals) Repeal Bill, 1991",1991
,,,Negatived,Ordinary Bill,Negatived,Private Member,VIII,07/12/91,,,Rajya Sabha,Murasoli Maran Shri,HOME AFFAIRS,,, ,,,,,"The Constitution (Amendment) Bill, 1977 (to amend articles 120,210,etc.)",1977
,,,Negatived,Ordinary Bill,Negatived,Private Member,XXVII,07/12/91,,,Rajya Sabha,Bhai Mahavir Dr.,HOME AFFAIRS,,, ,,,,,"The Delhi Administration (Amendment) Bill, 1968",1968
,,,Negatived,Ordinary Bill,Negatived,Government,36,07/12/91,,,Rajya Sabha, ,HOME AFFAIRS,,, ,,,,,"The Constitution (Nineteenth Amendment) Bill, 1966",1966
,,,Negatived,Ordinary Bill,Negatived,Private Member,VIII,07/12/91,,,Rajya Sabha,K. V. Raghunatha Reddy Shri,HOME AFFAIRS,,, ,,,,,"The Constitution (Amendment) Bill, 1966 (Substitution of article 358)",1966
,,,Negatived,Ordinary Bill,Negatived,Private Member,X,10/03/64,,,Rajya Sabha,Bhupesh Gupta Shri,HOME AFFAIRS,,, ,,,,,"The Constitution (Amendment) Bill, 1964 (to amend articles 352 and 359 and insertion of new article 360A)",1964
,,,Negatived,Ordinary Bill,Negatived,Private Member,XVIII,10/03/64,,,Rajya Sabha,Bhupesh Gupta Shri,HOME AFFAIRS,,, ,,,,,"The Catholic Church Premises and Ecelesiastie Order (Restructio of Political Activity) Bill, 1959",1959
,,,Negatived,Ordinary Bill,Negatived,Private Member,IV,10/03/64,,,Rajya Sabha,Bhupesh Gupta Shri,HOME AFFAIRS,,, ,,,,,"The Code of Criminal Procedure (Amendment) Bill, 1958",1958
,,,Negatived,Ordinary Bill,Negatived,Private Member,XL,10/03/64,,,Rajya Sabha,Satish Pradhan Shri,HOME AFFAIRS,,, ,,,,,"The Constitution ( Amendment) Bill,1993 ( Omission of Article 370)",1993
http://164.100.47.4/BillsTexts/RSBillTexts/Asintroduced/XLIV_2006.pdf,,,Negatived,Constitutional Amendment Bill,Negatived,Private Member,XLIV,28/07/06,,,Rajya Sabha,Lalhming Liana Shri,HOME AFFAIRS,,, ,,,,,"The Constitution (Amendment) Bill, 2006 (amendment of Eighth Shedule).",2006
,,,Negatived,Constitutional Amendment Bill,Negatived,Government,53,28/07/06,,,Rajya Sabha, ,HOME AFFAIRS,02/09/70,,05/09/70,,,,,"The Constitution (Twenty-Fourth Amendment) Bill, 1970",1970
